sku,slugname
6632,-salvador-dali-laguna-maravilla-eau-de-toilette-30ml
6633,-salvador-dali-laguna-maravilla-eau-de-toilette50ml
6635,-salvador-dali-salvador-eau-de-toilette-50ml
1110,-senscience-silk-moisture-duo-kit-2-produtos
1111,-senscience-smooth-duo-kit-2-produtos
1040,-senscience-structure-foam-modelador-250ml
1109,-senscience-volume-duo-kit-2-produtos
17148,-shakira-elixir-estedt-80ml-vpnotebook
10327,-shiseido-luminizing-satin-eye-color-trio-br209-browngoldnude
10464,-shiseido-translucent-eyebrow-shaper-modelador-de-sobrancelha-8ml
14674,-shiseido-zen-for-men-on-the-go-edt
9171,-sisley-eau-du-soir-feminino-eau-de-parfum
20777,-sisley-kit-eau-du-soir-100ml-creme-parfumee-150ml
14491,-sisley-phyto-ombre-eclat-sombra
17348,-taiff-secador-titanium-colors-azul-1270v
362,-tigi-bed-head-chocolate-head-massive-hair-repair-tratamento-100ml
1042,-tigi-bed-head-control-freak-condicionador-750ml
533,-tigi-bed-head-control-freak-conditioner-condicionador-1000ml
880,-tigi-bed-head-control-freak-shampoo-739ml
529,-tigi-bed-head-dumb-blonde-reconstructor-condicionador-tratamento-750ml
526,-tigi-bed-head-dumb-blonde-shampoo-1000ml
393,-tigi-bed-head-girl-toys-serum-50ml
389,-tigi-bed-head-headbanger-cera-em-spray-200ml
547,-tigi-bed-head-kit-chocolate-girl-2-produtos
524,-tigi-bed-head-kit-dumb-blonde-shampoo-e-condicionador-739ml
540,-tigi-bed-head-kit-extra-smooth-2-produtos
542,-tigi-bed-head-kit-freaky-ego-2-produtos
401,-tigi-bed-head-kit-loirinha-dumb-blonde-2-produtos
1058,-tigi-bed-head-kit-moisture-maniac-shampoo-e-condicionador-709ml
544,-tigi-bed-head-kit-shining-hard-2-produtos
552,-tigi-bed-head-kit-spoil-the-party-2-produtos
541,-tigi-bed-head-kit-star-party-2-produtos
525,-tigi-bed-head-manipulator-condicionador-1000ml
349,-tigi-bed-head-manipulator-condicionador-250ml
1197,-tigi-bed-head-manipulator-shampoo-1000ml
882,-tigi-bed-head-manipulator-shampoo-e-condicionador-739ml-2-produtos
1289,-tigi-bed-head-maxxed-out-massive-hold-hairspray-finalizador-400ml
883,-tigi-bed-head-moisture-maniac-condicionador-750ml
528,-tigi-bed-head-moisture-maniac-shampoo-1000ml
549,-tigi-bed-head-party-girls-2-produtos
886,-tigi-bed-head-self-absorbed-condicionador-1000ml
885,-tigi-bed-head-self-absorbed-shampoo-1000ml
1059,-tigi-bed-head-self-absorbed-shampoo-750ml
15515,-tigi-bed-head-styleshots-extreme-straight-conditioner-condicionador-750ml
15514,-tigi-bed-head-styleshots-extreme-straight-shampoo-750ml
15513,-tigi-bed-head-styleshots-hi-def-curls-conditioner-condicionador-750ml
15512,-tigi-bed-head-styleshots-hi-def-curls-shampoo-750ml
550,-tigi-bed-head-tight-genius-2-produtos
390,-tigi-bed-head-uptight-curl-maker-ativador-de-cachos-200ml
4008,-tigi-catwalk-calming-conditioner-250ml
527,-tigi-catwalk-kit-fashionista-shampoo-e-condicionador-739ml
1067,-tigi-catwalk-kit-oatmeal-and-honey-shampoo-e-condicionador-750ml
1044,-tigi-catwalk-sexed-up-body-building-tonic-200ml
412,-tigi-catwalk-sexed-up-shampoo-350ml
598,-vita-derm-acne-control-hidrogel-facial-fps15-42g
587,-vita-derm-acne-control-sabonete-dermo-equilibrante-antisseptico-sabonete-100ml
592,-vita-derm-antitempo-creme-gel-renovador-30ml
586,-vita-derm-blond-hidratante-leite-de-cereais-hidratante-200g
619,-vita-derm-cleanser-sabonete-calmante-100ml
583,-vita-derm-condicionador-hidratante-vita-afro-condicionador-200ml
599,-vita-derm-creme-area-dos-olhos-20g
594,-vita-derm-creme-para-massagem-200g
568,-vita-derm-creme-para-pentear-cachos-leave-in-200g
595,-vita-derm-creme-para-prevencao-de-estrias-200g
601,-vita-derm-gel-area-dos-olhos-20g
593,-vita-derm-gomage-corporal-200g
576,-vita-derm-hair-gloss-bioativo-serum-200g
577,-vita-derm-hidratante-agua-de-flores-tratamento-240g
573,-vita-derm-hidratante-capilar-de-queratina-200g
574,-vita-derm-hidratante-de-macadamia-hidratante-capilar-200g
575,-vita-derm-hidratante-de-trigo-hidratante-200g
581,-vita-derm-intensiv-color-fashion-hidratante-condicionador-condicionador-200g
580,-vita-derm-intensiv-color-fashion-leave-in-creme-para-pentear-100g
